"TypeId","Class","UnrealClass"
"0x00000001","UIElement_Button","UACEUIButton"
"0x00000002","UIElement_Dragbar","UACEUIDragbar"
"0x00000003","UIElement_Field","UACEUIField"
"0x00000005","UIElement_ListBox","UACEUIListBox"
"0x00000006","UIElement_Menu","UACEUIMenu"
"0x00000007","UIElement_Meter","UACEUIMeter"
"0x00000008","UIElement_Panel","UACEUIPanel"
"0x00000009","UIElement_Resizebar","UACEUIResizebar"
"0x0000000B","UIElement_Scrollbar","UACEUIScrollbar"
"0x0000000C","UIElement_Text","UACEUIText"
"0x0000000D","UIElement_Viewport","UACEUIViewport"
"0x0000000E","UIElement_Browser","UACEUIBrowser"
"0x00000010","UIElement_ColorPicker","UACEUIColorPicker"
"0x00000011","UIElement_GroupBox","UACEUIGroupBox"
"0x00000013","ConfirmationDialog","UACEConfirmationDialog"
"0x00000014","ConfirmationMenuDialog","UACEConfirmationMenuDialog"
"0x00000015","ConfirmationTextInputDialog","UACEConfirmationTextInputDialog"
"0x00000016","MenuDialog","UACEMenuDialog"
"0x00000017","MessageDialog","UACEMessageDialog"
"0x00000018","TextInputDialog","UACETextInputDialog"
"0x00000019","WaitDialog","UACEWaitDialog"
"0x10000001","gmUIElement_BurdenIndicator","UACEUIBurdenIndicator"
"0x10000002","gmUIElement_EffectsIndicator","UACEUIEffectsIndicator"
"0x10000003","gmUIElement_LinkStatusIndicator","UACEUILinkStatusIndicator"
"0x10000004","gmUIElement_MiniGameIndicator","UACEUIMiniGameIndicator"
"0x10000005","gmUIElement_PortalStormIndicator","UACEUIPortalStormIndicator"
"0x10000006","gmUIElement_VitaeIndicator","UACEUIVitaeIndicator"
"0x10000007","gmToolbarUI","UACEToolbarUI"
"0x10000008","gmPanelUI","UACEPanelUI"
"0x10000009","gmVitalsUI","UACEVitalsUI"
"0x1000000A","gmIndicatorsUI","UACEIndicatorsUI"
"0x1000000C","gmCombatUI","UACECombatUI"
"0x1000000D","gmExternalContainerUI","UACEExternalContainerUI"
"0x1000000E","gmKeyboardUI","UACEKeyboardUI"
"0x1000000F","gmPowerbarUI","UACEPowerbarUI"
"0x10000010","gmRadarUI","UACERadarUI"
"0x10000011","gmSalvageUI","UACESalvageUI"
"0x10000012","gmSecureTradeUI","UACESecureTradeUI"
"0x10000014","gmSmartBoxUI","UACESmartBoxUI"
"0x10000015","gmSpellcastingUI","UACESpellcastingUI"
"0x10000016","gmSpewBoxUI","UACESpewBoxUI"
"0x10000017","gmVendorUI","UACEVendorUI"
"0x10000018","gmAbuseUI","UACEAbuseUI"
"0x10000019","gmBookUI","UACEBookUI"
"0x1000001A","gmCharacterInfoUI","UACECharacterInfoUI"
"0x1000001B","gmEffectsUI","UACEEffectsUI"
"0x1000001C","gmExaminationUI","UACEExaminationUI"
"0x1000001D","gmLinkStatusUI","UACELinkStatusUI"
"0x1000001F","gmUrgentAssistanceUI","UACEUrgentAssistanceUI"
"0x10000020","gmVitaeUI","UACEVitaeUI"
"0x10000021","gm3DItemsUI","UACE3DItemsUI"
"0x10000022","gmBackpackUI","UACEBackpackUI"
"0x10000023","gmInventoryUI","UACEInventoryUI"
"0x10000024","gmPaperDollUI","UACEPaperDollUI"
"0x10000025","gmHouseUI","UACEHouseUI"
"0x10000026","gmMapUI","UACEMapUI"
"0x10000027","gmCharacterSettingsUI","UACECharacterSettingsUI"
"0x10000028","gmConfigUI","UACEConfigUI"
"0x10000029","gmGameplayOptionsUI","UACEGameplayOptionsUI"
"0x1000002A","gmAttributeUI","UACEAttributeUI"
"0x1000002B","gmSkillUI","UACESkillUI"
"0x1000002C","gmAllegianceUI","UACEAllegianceUI"
"0x1000002D","gmFellowshipUI","UACEFellowshipUI"
"0x1000002E","gmSpellbookUI","UACESpellbookUI"
"0x1000002F","gmSpellComponentUI","UACESpellComponentUI"
"0x10000030","UIElement_SmartBoxWrapper","UACEUISmartBoxWrapper"
"0x10000031","UIElement_ItemList","UACEUIItemList"
"0x10000032","UIElement_UIItem","UACEUIUIItem"
"0x10000033","gmEnvPanelUI","UACEEnvPanelUI"
"0x10000034","UIOption_ActionKeyMap","UACEUIOptionActionKeyMap"
"0x10000035","UIOption_Checkbox","UACEUIOptionCheckbox"
"0x10000036","UIOption_CheckboxSlider","UACEUIOptionCheckboxSlider"
"0x10000037","UIOption_Slider","UACEUIOptionSlider"
"0x10000038","UIOption_Menu","UACEUIOptionMenu"
"0x10000039","gmCGHeritagePage","UACECGHeritagePage"
"0x1000003A","gmCGProfessionPage","UACECGProfessionPage"
"0x1000003B","gmCGSkillsPage","UACECGSkillsPage"
"0x1000003C","gmCGAppearancePage","UACECGAppearancePage"
"0x1000003D","gmCGTownPage","UACECGTownPage"
"0x1000003E","gmCGSummaryPage","UACECGSummaryPage"
"0x1000003F","gmAdminQualitiesUI","UACEAdminQualitiesUI"
"0x10000040","gmFloatyChatUI","UACEFloatyChatUI"
"0x10000041","gmMainChatUI","UACEMainChatUI"
"0x10000042","gmChatOptionsUI","UACEChatOptionsUI"
"0x10000043","UIOption_CheckboxBitfield","UACEUIOptionCheckboxBitfield"
"0x10000044","UIOption_CheckboxBitfield64","UACEUIOptionCheckboxBitfield64"
"0x10000045","gmFriendsUI","UACEFriendsUI"
"0x10000046","gmCharacterTitleUI","UACECharacterTitleUI"
"0x10000047","gmSquelchUI","UACESquelchUI"
"0x10000048","gmJournalUI","UACEJournalUI"
"0x10000049","gmPageListUI","UACEPageListUI"
"0x1000004A","gmBarberUI","UACEBarberUI"
"0x1000004B","gmContractsUI","UACEContractsUI"
