resourceId,datArchive,resourceType,unrealAssetPath,referencingLayout,layoutName,referencingElement,notes
"0x06000F5A","client_portal.dat","Image","AC_UI_Icon_06000F5A","0x21000037","ItemSlot","ItemSlot_Equip_LeftRing/ItemSlot_Icon",""
"0x06000F5D","client_portal.dat","Image","AC_UI_Icon_06000F5D","0x21000037","ItemSlot","ItemSlot_Equip_LeftWrist/ItemSlot_Icon",""
"0x06000F5E","client_portal.dat","Image","AC_UI_Icon_06000F5E","0x21000037","ItemSlot","ItemSlot_Equip_AmmoReady/ItemSlot_Icon",""
"0x06000F66","client_portal.dat","Image","AC_UI_Icon_06000F66","0x21000037","ItemSlot","ItemSlot_Equip_WeaponReady/ItemSlot_Icon",""
"0x06000F68","client_portal.dat","Image","AC_UI_Icon_06000F68","0x21000037","ItemSlot","ItemSlot_Equip_Neck/ItemSlot_Icon",""
"0x06000F6A","client_portal.dat","Image","AC_UI_Icon_06000F6A","0x21000037","ItemSlot","ItemSlot_Equip_RightWrist/ItemSlot_Icon",""
"0x06000F6B","client_portal.dat","Image","AC_UI_Icon_06000F6B","0x21000037","ItemSlot","ItemSlot_Equip_RightRing/ItemSlot_Icon",""
"0x06000F6C","client_portal.dat","Image","AC_UI_Icon_06000F6C","0x21000037","ItemSlot","ItemSlot_Equip_ShieldReady/ItemSlot_Icon",""
"0x06000F6E","client_portal.dat","Image","AC_UI_Icon_06000F6E","0x21000037","ItemSlot","ItemSlot_ContainerGeneric/ItemSlot_Icon",""
"0x06000F86","client_portal.dat","Image","AC_UI_Icon_06000F86","0x21000045","","StatManagement_ListHeader_Trained_Template",""
"0x06000F89","client_portal.dat","Image","AC_UI_Icon_06000F89","0x21000045","","StatManagement_ListHeader_Unusable_Template",""
"0x06000F8A","client_portal.dat","Image","AC_UI_Icon_06000F8A","0x21000045","","StatManagement_Template/StatManagement_Footer_Meter/StatManagement_Footer_Meter/2",""
"0x06000F90","client_portal.dat","Image","AC_UI_Icon_06000F90","0x21000045","","StatManagement_ListHeader_Specialized_Template",""
"0x06000F93","client_portal.dat","Image","AC_UI_Icon_06000F93","0x21000045","","StatManagement_ListInfo_Template",""
"0x06000F98","client_portal.dat","Image","AC_UI_Icon_06000F98","0x21000045","","StatManagement_ListHeader_Untrained_Template",""
"0x0600109A","client_portal.dat","Image","AC_UI_Icon_0600109A","0x21000037","ItemSlot","ItemSlot_GenericOverlays/ItemSlot_Icon_Ghosted",""
"0x0600109D","client_portal.dat","Image","AC_UI_Icon_0600109D","0x21000037","ItemSlot","ItemSlot_GenericOverlays/ItemSlot_Icon_ShortcutNum",""
"0x060010F9","client_portal.dat","Image","AC_UI_Icon_060010F9","0x2100001C","classic_examination","RootExamination_Field/ItemExamineUI/ItemIconBackground",""
"0x060010F9","client_portal.dat","Image","AC_UI_Icon_060010F9","0x21000037","ItemSlot","ItemSlot_ShortcutGeneric/ItemSlot_Icon",""
"0x060010FA","client_portal.dat","Image","AC_UI_Icon_060010FA","0x21000037","ItemSlot","ItemSlot_Shortcut_01/ItemSlot_Icon",""
